,frameNo,topLeft,bottomRight
0,176,"(571, 268)","(859, 491)"
0,176,"(571, 268)","(859, 491)"
0,177,"(569, 267)","(859, 492)"
0,177,"(569, 267)","(859, 492)"
0,177,"(162, 123)","(452, 348)"
0,177,"(569, 267)","(859, 492)"
0,177,"(787, 3)","(1077, 228)"
0,177,"(787, 3)","(1077, 228)"
0,178,"(781, 0)","(1071, 225)"
0,178,"(781, 0)","(1071, 225)"
0,178,"(164, 123)","(454, 348)"
0,178,"(781, 0)","(1071, 225)"
0,178,"(781, 0)","(1071, 225)"
0,178,"(781, 0)","(1071, 225)"
0,179,"(788, 0)","(1080, 227)"
0,179,"(788, 0)","(1080, 227)"
0,179,"(262, 159)","(554, 386)"
0,179,"(788, 0)","(1080, 227)"
0,179,"(788, 0)","(1080, 227)"
0,179,"(788, 0)","(1080, 227)"
0,180,"(795, 0)","(1087, 227)"
0,180,"(795, 0)","(1087, 227)"
0,180,"(286, 163)","(578, 390)"
0,180,"(795, 0)","(1087, 227)"
0,180,"(795, 0)","(1087, 227)"
0,180,"(795, 0)","(1087, 227)"
0,181,"(526, 0)","(820, 229)"
0,181,"(526, 0)","(820, 229)"
0,181,"(232, 135)","(526, 364)"
0,181,"(820, 0)","(1114, 229)"
0,181,"(820, 0)","(1114, 229)"
0,181,"(820, 0)","(1114, 229)"
0,182,"(542, 0)","(836, 229)"
0,182,"(836, 0)","(1130, 229)"
0,182,"(248, 141)","(542, 370)"
0,182,"(836, 0)","(1130, 229)"
0,182,"(836, 0)","(1130, 229)"
0,182,"(836, 0)","(1130, 229)"
0,183,"(565, 0)","(861, 231)"
0,183,"(861, 0)","(1157, 231)"
0,183,"(269, 145)","(565, 376)"
0,183,"(861, 0)","(1157, 231)"
0,183,"(861, 0)","(1157, 231)"
0,183,"(861, 0)","(1157, 231)"
0,184,"(596, 0)","(892, 231)"
0,184,"(892, 0)","(1188, 231)"
0,184,"(691, 351)","(987, 582)"
0,184,"(892, 0)","(1188, 231)"
0,184,"(892, 0)","(1188, 231)"
0,184,"(892, 0)","(1188, 231)"
0,185,"(896, 0)","(1194, 233)"
