country,HPC,manufacture,year
United States,DLX - PowerEdge C6100 Cluster,Dell EMC,2011
United States,Jaguar - Cray XT5-HE Opteron 6-core 2.6 GHz,Cray/HPE,2011
United States,Pleiades - SGI Altix ICE 8200EX/8400EX,HPE,2011
United States,Franklin - Cray XT4 QuadCore 2.3 GHz,Cray/HPE,2011
Brazil,Tup - Cray XT6 12-core 2.1 GHz,Cray/HPE,2011
Canada,GPC - iDataPlex,IBM/Lenovo,2011
Poland,Zeus - Cluster Platform 3000 BL 2x220,HPE,2011
Japan,Hitachi SR16000 Model M1/176,Hitachi,2011
Russia,MVS-100K - Cluster Platform 3000 BL460c/BL2x220,HPE,2011
Russia,Cluster Platform 3000 BL2x220,HPE,2011
United States,Cray XT5 QC 2.3 GHz,Cray/HPE,2011
United States,ASC Purple - eServer pSeries p5 575 1.9 GHz,IBM,2011
Australia,CSIRO GPU Cluster - Supermicro Xeon Cluster,Xenon Systems,2011
Taiwan,Formosa 4 - ASUS ESC4000,Asus,2011
United States,NNSA/SC Blue Gene/Q Prototype 1,IBM,2011
Switzerland,Todi - Cray XK6,Cray/HPE,2011
United States,Cluster Platform 3000 SL2x170z,HPE,2011
Russia,HP DL160 Cluster G6,HPE,2011
United States,bluefire - Power 575,IBM,2011
Japan,Cluster Platform 3000 BL460c G7,HPE,2011
United States,Cluster Platform 3000 BL2x220,HPE,2011
Germany,Cluster Platform 3000 BL490c,HPE,2011
United Kingdom,Cluster Platform 3000 BL460c G1,HPE,2011
United Kingdom,xSeries x3650 Cluster Xeon QC GT 2.66 GHz,IBM,2011
United States,Power 750,IBM,2011
France,Cluster Platform SL2x170z,HPE,2011
United States,Yale - Omega - Cluster Platform 3000 BL460c G6,HPE,2011
Poland,Supernova - Cluster Platform 3000 BL2x220,HPE,2011
Germany,NEC LX-2400 Cluster,NEC,2011
Japan,Plasma Simulator - Hitachi SR16000 Model L2/128,Hitachi,2011
Germany,HLRB-II - Altix 4700 1.6 GHz,HPE,2011
United States,Jade - Cray XT4 QuadCore 2.1 GHz,Cray/HPE,2011
United States,iDataPlex,IBM,2011
India,Power 575,IBM,2011
Germany,Cluster Platform SL165z G7,HPE,2011
Japan,SHIROKANE - SunBlade x6250,Oracle,2011
United Kingdom,iDataPlex,IBM,2011
Austria,Vienna Scientific Cluster - Sun Blade x2270/Supermicro SC827T-R1400,Oracle,2011
United States,Razor-II - Altus 704 Cluster,"Penguin Computing, Inc.",2011
United States,Thunderbird - PowerEdge 1850,Dell EMC,2011
United States,Cluster Platform 3000 SL160z,HPE,2011
France,Tera-10 - NovaScale 5160,Atos,2011
United States,xSeries x3650M2 Cluster,IBM,2011
France,Power 575,IBM,2011
Singapore,xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz,IBM,2011
China,HP DL180 Cluster G6,HPE,2011
China,xSeries x3550M3,IBM,2011
United States,Coates - Cluster Platform 3000 DL165,HPE,2011
Switzerland,Brutus - Sun Blade X6440,Oracle,2011
United Kingdom,UKMO A - Power 575,IBM,2011
United Kingdom,UKMO B - Power 575,IBM,2011
United States,Hawk - Altix 4700 1.6 GHz,HPE,2011
Denmark,Cluster Platform 3000 BL460c G6,HPE,2011
France,BladeCenter HS22 Cluster,IBM,2011
Japan,Hitachi SR16000 Model L2/121,Hitachi,2011
United States,HP ProLiant SL390s G7 Xeon 6C X5680 3.3 Ghz,HPE,2011
United States,Jaguar - Cray XK6,Cray/HPE,2012
United States,Pleiades - SGI Altix ICE X/8200EX/8400EX,HPE,2012
Germany,JUGENE - Blue Gene/P Solution,IBM,2012
United States,Raptor - Cray XE6 8-core 2.4 GHz,Cray/HPE,2012
United States,Dark Bridge - Xtreme-X,Cray/HPE,2012
France,Jade - SGI Altix ICE 8200EX,HPE,2012
United States,Sandia/Cray Red Storm - Cray XT3/XT4,Cray/HPE,2012
United States,Gaea - Cray XT6-HE,Cray/HPE,2012
United States,BlueGene/L - eServer Blue Gene Solution,IBM,2012
United States,Garnet - Cray XE6 8-core 2.4 GHz,Cray/HPE,2012
United Kingdom,Blackthorn - Bullx B500 Cluster,Atos,2012
United States,Discovery - Intel Cluster,Intel,2012
United States,Keeneland - HP ProLiant SL390s G7 Xeon 6C X5660 2.8Ghz,HPE,2012
United States,Cray XE6 8-core 2.3 GHz,Cray/HPE,2012
Japan,GOSAT Research Computation Facility - Asterism ID318,NSSOL / SGI Japan,2012
United States,HP SL390s/170s  G7,HPE,2012
United States,Rossmann - HP Cluster Platform 4000 DL165 G7 Cluster,HPE,2012
United Kingdom,BladeCenter HS22 Cluster (WM),IBM,2012
United States,HP DL180 Cluster G6,HPE,2012
China,HP DL160 Cluster G6,HPE,2012
