country,HPC,manufacture,year
Sweden,Cluster Platform 3000 BL460c Gen9,HPE,2017
China,Lenovo x3650,Lenovo,2017
Italy,DAVIDE - E4 OP206 cluster,E4 Computer Engineering S.p.A.,2017
India,Cluster Platform 3000 BL460c Gen9,HPE,2017
China,CH121 V3 Cluster,"Huawei Technologies Co., Ltd.",2017
Australia,OzSTAR - PowerEdge R740,Dell EMC,2017
United States,Caliburn - FatTwin SuperServer,Supermicro,2017
Ireland,Cluster Platform DL380,HPE,2017
United States,Big Red II - Cray XK7,Cray/HPE,2017
Austria,VSC-3 - Oil blade server,ClusterVision,2017
China,Lenovo x3550,Lenovo,2017
United States,HPE SGI 8600,HPE,2017
China,Lenovo RD350,Lenovo,2017
Japan,Cray XC40 - Cray XC40,Cray/HPE,2017
China,Lenovo RD650,Lenovo,2017
France,Sator - NEC HPC1812-Rg-2,NEC,2017
China,MLSystem - Sugon TC6000,Sugon,2017
United Kingdom,Cluster Platform DL360,HPE,2017
Austria,Cluster Platform DL360,HPE,2017
Finland,Cluster Platform DL360,HPE,2017
United States,Gaea C2 - Cray XE6,Cray/HPE,2017
India,TIFR - Cray XC30,Cray/HPE,2017
Germany,CLAIX (Phase I,NEC,2017
China,Huawei  Cluster RH2288H V2,"Huawei Technologies Co., Ltd.",2017
United States,SuperMIC - Dell C8220X Cluster,Dell EMC,2017
China,DLSystem - Sugon W580-G20,Sugon,2017
Mexico,Cluster Platform DL380,HPE,2017
New Zealand,Apollo 6000 XL230a,HPE,2017
United States,Discover SCU11 - Rackable Cluster,HPE,2017
Japan,AI Bridging Cloud Infrastructure (ABCI) - PRIMERGY CX2550 M4,Fujitsu,2018
United States,Electra - HPE SGI 8600,HPE,2018
United Kingdom,Peta4 - Dell C6420,Dell EMC,2018
Canada,Cedar - Dell C4130/Dell C6320,Dell EMC,2018
China,Inspur TS10000 HPC Cluster System - Inspur TS10000,Inspur,2018
United States,Palmetto2 - HP SL250s Gen8/Lenovo NX360M5,HPE,2018
United States,Apollo 6000 XL230a,HPE,2018
China,Internet Company A O2 - ThinkSystem RD452,Lenovo,2018
China,Internet Company A O1 - ThinkSystem RD452,Lenovo,2018
United Kingdom,IRIDIS - ThinkSystem SD530,Lenovo,2018
Sweden,Cluster Platform 3000 BL460c Gen9/DL380,HPE,2018
Japan,Cluster Platform DL360,HPE,2018
China,Internet Company N B1 - Lenovo RD450,Lenovo,2018
China,Core International 2 - Lenovo x240 M5,Lenovo,2018
China,JD E1 - Lenovo x3650,Lenovo,2018
China,Lenovo NeXtScale nx360M5,Lenovo,2018
United States,Intel SC D2P4 - Cluster Platform 3000 BL460c,HPE,2018
China,ComputeSystem - Sugon I620,Sugon,2018
China,BTCloudSystem - Sugon I620,Sugon,2018
Germany,Gottfried - Cray XC40,Cray/HPE,2018
China,CMCluster2 - Sugon TC6000,Sugon,2018
China,JD G1 - Lenovo x3650,Lenovo,2018
China,Internet Company B K1 - Lenovo RD450,Lenovo,2018
Japan,Sakura - ZettaScaler-2.2,PEZY Computing / Exascaler Inc.,2018
Australia,Software Company (M) AB1 - Lenovo C1040,Lenovo,2018
United States,Software Company (M) B5 - Lenovo C1040,Lenovo,2018
United States,Software Company (M) B4 - Lenovo C1040,Lenovo,2018
United States,Software Company (M) B3 - Lenovo C1040,Lenovo,2018
United States,Software Company (M) B2 - Lenovo C1040,Lenovo,2018
United States,Software Company (M) B1 - Lenovo C1040,Lenovo,2018
Singapore,SB1 - Lenovo C1040,Lenovo,2018
Netherlands,NB1 - Lenovo C1040,Lenovo,2018
Ireland,IB1 - Lenovo C1040,Lenovo,2018
Japan,Laurel 2 - Cray CS400,Cray/HPE,2018
China,VDSystem - Sugon TC6000,Sugon,2018
China,Huawei E9000 Blade Server,"Huawei Technologies Co., Ltd.",2018
Ireland,Cluster Platform DL360,HPE,2018
China,Internet Company A P1 - ThinkSystem RD452,Lenovo,2018
Saudi Arabia,Faris - Cluster Platform SL230s Gen8,HPE,2018
China,JD F1 - Lenovo x3650,Lenovo,2018
China,traingsystem - Sugon I620,Sugon,2018
Japan,Reedbush-L - SGI Rackable C1102-GP8,HPE,2018
Japan,Reedbush-H - SGI Rackable C1102-GP8,HPE,2018
China,Internet Company B L1 - Lenovo x3650,Lenovo,2018
Germany,PALMA II - MEGWARE MiriQuid,MEGWARE,2018
China,onhelper-system - Sugon I620,Sugon,2018
Japan,Suiren2 - ZettaScaler-2.2,PEZY Computing / Exascaler Inc.,2018
China,Sunway Blue Light - Sunway BlueLight MPP,National Research Center of Parallel Computer Engineering & Technology,2018
China,Internet Company T R1 - Lenovo RD450,Lenovo,2018
United States,Brown - PowerEdge R640,Dell EMC,2018
China,Internet Company T S1 - Lenovo RD450,Lenovo,2018
Germany,DRACO - Lenovo NeXtScale nx360M5,Lenovo,2018
China,Internet Company A Q1 - Lenovo x3650,Lenovo,2018
Netherlands,Cluster Platform DL360,HPE,2018
United States,XStream - Cray CS-Storm,Cray/HPE,2018
Japan,Sekirei-ACC - SGI ICE XA,HPE,2018
United States,Zin - Xtreme-X GreenBlade GB512X,Cray/HPE,2018
China,Tianhe-1A Hunan Solution - NUDT YH MPP,NUDT,2018
Japan,Research Computation Facility for GOSAT-2 (RCF2) - SGI Rackable C1104-GP1,NSSOL/HPE,2018
China,Research - Sugon TC6000,Sugon,2018
Germany,ForHLR II - Lenovo NeXtScale nx360M5,Lenovo,2018
China,Internet Company T T1 - Lenovo RD450,Lenovo,2018
United Kingdom,Spruce B - SGI ICE X,HPE,2018
China,Internet Company T U2 - Lenovo RD450,Lenovo,2018
China,Internet Company T U1 - Lenovo RD450,Lenovo,2018
United States,SNL CTS-1 Dark Ghost - Tundra Extreme Scale,"Penguin Computing, Inc.",2018
United States,Topaz - Tundra Extreme Scale,"Penguin Computing, Inc.",2018
South Korea,HP Apollo XL1x0r,HPE,2018
Russia,HPC4/HPC5 - SuperMicro Twin^2/2U GPU/T-Platforms V205,SuperMicro/Mellanox,2018
United States,Cluster Platform DL380,HPE,2018
Germany,FusionServer CH140 V3 Cluster,"Huawei Technologies Co., Ltd.",2018
Japan,COMA (PACS-IX) - Cray CS300 1027GR,Cray/HPE,2018
China,ImageSystem - Sugon Cluster W580I,Sugon,2018
China,Internet Company A R1 - Lenovo RD550,Lenovo,2018
South Korea,Cluster Platform DL380,HPE,2018
China,video_system - Sugon W580-G20,Sugon,2018
Japan,Numerical Materials Simulator - SGI ICE X,HPE,2018
United States,HiperGator 2.0 - PowerEdge C6320,Dell EMC,2018
China,Earth System Numerical Simulator - Sugon Cluster TC4600E,Sugon,2018
China,Internet Company T V1 - Lenovo RD450,Lenovo,2018
Germany,FusionServer X6800/XH620 V3 Cluster,"Huawei Technologies Co., Ltd.",2018
China,HC2000 Cluster,Sugon,2018
China,Cluster Platform DL360,HPE,2018
China,CMCluster - Sugon TC6000,Sugon,2018
India,iDataPlex DX360M4,IBM,2018
United States,Cetus - BlueGene/Q,IBM,2018
France,Zumbrota - BlueGene/Q,IBM,2018
Canada,BGQ - BlueGene/Q,IBM,2018
Switzerland,EPFL Blue Brain IV - BlueGene/Q,IBM,2018
United States,Sierra - IBM Power System S922LC,IBM / NVIDIA / Mellanox,2018
United States,Lassen - IBM Power System S922LC,IBM / NVIDIA / Mellanox,2018
Germany,iDataPlex DX360M4,Lenovo/IBM,2018
Japan,Shoubu system B - ZettaScaler-2.2,PEZY Computing / Exascaler Inc.,2018
United Kingdom,Apollo 2000,HPE,2018
Japan,QUARTETTO - HA8000-tc HT210/PRIMERGY CX400 Cluster,Hitachi/Fujitsu,2018
United States,Lonestar 5 - Cray XC40,Cray/HPE,2018
China,IT-byte - Sugon TC6000,Sugon,2018
Poland,EAGLE - Huawei E9000 Blade Server,"Huawei Technologies Co., Ltd.",2018
Italy,CRESCO6 - Lenovo SD530,Lenovo,2018
Poland,Tryton - HP ProLiant XL230a Gen9/Huawei RH1288/SOLAR 820 S5,Megatel/Action,2018
Singapore,NSCC - PRIMERGY CX2550 M1 LC & CX2570 M1 LC,Fujitsu,2018
China,S1 - ThinkSystem RD452,Lenovo,2018
United States,Lemhi - Dell C6420,Dell EMC,2018
Japan,Shoubu - ZettaScaler-1.6,PEZY Computing / Exascaler Inc.,2018
United States,Discover SCU10 - Rackable Cluster,HPE,2018
Germany,Konrad - Cray XC40,Cray/HPE,2018
China,PVideo-B - Sugon I620,Sugon,2018
Japan,HOKUSAI GreatWave - Fujitsu PRIMEHPC FX100,Fujitsu,2018
China,IPE-GPUv2 - HC2000 Cluster,Sugon,2018
United States,Conte - Cluster Platform SL250s Gen8,HPE,2018
China,Lenovo RD550,Lenovo,2018
South Korea,Aleph - Cray XC50,Cray/HPE,2018
Japan,AIST AI Cloud - NEC 4U-8GPU Server,NEC,2018
United Kingdom,Spruce A - SGI ICE X,HPE,2018
Germany,GOETHE-HLR - MEGWARE MiriQuid,MEGWARE,2018
United States,Lightning - Cray XC30,Cray/HPE,2018
China,netsystem - Sugon I620,Sugon,2018
Norway,Fram - Lenovo NeXtScale nx360M5,Lenovo,2018
China,Cluster Platform HP DL360 Gen9,HPE,2018
France,Sequana BXI - Bull Sequana X1000,Atos,2018
France,Eole - Intel Cluster,Atos,2018
China,HPC_Cluster - Sugon TC6000,Sugon,2018
China,Huawei X6800 V3,"Huawei Technologies Co., Ltd.",2018
Sweden,Huawei E9000 Blade Server,"Huawei Technologies Co., Ltd.",2018
China,CloudSystem - Sugon I620,Sugon,2018
China,IT-su - Sugon TC6000,Sugon,2018
China,IT-h3 - Sugon TC6000,Sugon,2018
China,Cluster Platform DL380,HPE,2018
China,Sugon I620,Sugon,2018
United States,Apollo 6000 XL2x0a,HPE,2018
China,Internet Company A N2 - ThinkSystem RD452,Lenovo,2018
China,Internet Company A N1 - ThinkSystem RD452,Lenovo,2018
Poland,OKEANOS - Cray XC40,Cray/HPE,2018
Sweden,Stratus - Intel H2204XXLRE,ClusterVision / Hammer,2018
New Zealand,Maui - Cray XC50,Cray/HPE,2018
Canada,Hare - Cray XC40,Cray/HPE,2018
Canada,Brooks - Cray XC40,Cray/HPE,2018
China,Lenovo NeXtScale nx360 M5,Lenovo,2018
Russia,Lomonosov - T-Platforms T-Blade2/1.1,T-Platforms,2018
India,SERC - Cray XC40,Cray/HPE,2018
China,DLCluster - Sugon Cluster W580I,Sugon,2018
China,JD D1 - Lenovo x3550,Lenovo,2018
United States,BlueGene/Q,IBM,2018
United States,Cluster Platform DL360,HPE,2018
Germany,Huawei X6800/XH321 V3/XH620 V3 Cluster,"Huawei Technologies Co., Ltd.",2018
China,FusionServer XH620 V3 Cluster,"Huawei Technologies Co., Ltd.",2018
United States,Titan - Cray XK7,Cray/HPE,2019
Japan,K computer,Fujitsu,2019
Finland,Sisu - Cray XC40,Cray/HPE,2019
China,Internet Company T BB1 - Lenovo RD450,Lenovo,2019
China,Huawei RH5885H V3 Cluster,"Huawei Technologies Co., Ltd.",2019
China,data-ML - Sugon I620,Sugon,2019
Australia,AC1 - Lenovo C1040,Lenovo,2019
Brazil,BC1 - Lenovo C1040,Lenovo,2019
Australia,Lenovo C1040,Lenovo,2019
South Korea,KC1 - Lenovo C1040,Lenovo,2019
South Korea,Lenovo C1040,Lenovo,2019
United Kingdom,UKC4 - Lenovo C1040,Lenovo,2019
United Kingdom,UKC3 - Lenovo C1040,Lenovo,2019
United Kingdom,UKC2 - Lenovo C1040,Lenovo,2019
United Kingdom,UKC1 - Lenovo C1040,Lenovo,2019
India,InC1 - Lenovo C1040,Lenovo,2019
Japan,Lenovo C1040,Lenovo,2019
France,FR1 - Lenovo C1040,Lenovo,2019
Brazil,BC2 - Lenovo C1040,Lenovo,2019
Singapore,SB4 - Lenovo C1040,Lenovo,2019
China,C1 - Lenovo C1040,Lenovo,2019
United Kingdom,UK6 - Lenovo C1040,Lenovo,2019
United Kingdom,UK5 - Lenovo C1040,Lenovo,2019
South Africa,Lenovo C1040,Lenovo,2019
South Africa,2 - Lenovo C1040,Lenovo,2019
Switzerland,1 - Lenovo C1040,Lenovo,2019
Switzerland,Software Company (M) SW2 - Lenovo C1040,Lenovo,2019
United States,Venus - PowerEdge C6320,Dell EMC / IBM-GBS,2019
United States,Mars - PowerEdge C6320,Dell EMC / IBM-GBS,2019
China,CT-1 - Sugon TC6000,Sugon,2019
China,PVideo-C - Sugon I620,Sugon,2019
United States,Dell C4130,Dell EMC,2019
China,MLSystem - Sugon I620,Sugon,2019
Australia,Magnus - Cray XC40,Cray/HPE,2019
Netherlands,Cartesius 2 - Bullx DLC B710/B720 Blades,Atos,2019
United States,Falcon - SGI ICE X,HPE,2019
United States,HP Apollo XL7x0f,HPE,2019
China,PreEarthSim - Sugon TC4600,Sugon,2019
France,Turing - BlueGene/Q,IBM,2019
United Kingdom,DiRAC - BlueGene/Q,IBM,2019
United States,Apollo 6000 XL260a,HPE,2019
United States,BeBop - Cray CS400,Cray/HPE,2019
United States,DGX SaturnV Volta - NVIDIA DGX-1 Volta36,Nvidia,2019
Denmark,Apollo 2000,HPE,2019
United States,Cluster Platform 3000 BL460c Gen9,HPE,2019
China,Lenovo x3950,Lenovo,2019
United States,QB-2 - Dell C8220X Cluster,Dell EMC,2019
United States,Hellfire - SGI ICE XA,HPE,2019
France,Tera-100 - Bull bullx super-node S6010/S6030,Atos,2019
China,PDataSystem - Sugon I620,Sugon,2019
China,Internet Company N D1 - Lenovo RD350,Lenovo,2019
China,Lenovo ThinkServer RD650,Lenovo,2019
China,datalearningsystem - Sugon W740,Sugon,2019
United States,TX-Green - S7200AP Cluster,Dell EMC,2019
China,ThinkSystem Flex SN550,Lenovo,2019
Germany,Taurus - bullx DLC 720,Atos,2019
South Africa,Lengau - PowerEdge C6320,Dell EMC,2019
China,Pdata-1 - Sugon I620,Sugon,2019
China,PVideo-A - Sugon I620,Sugon,2019
China,Internet Company N D2 - Lenovo RD350,Lenovo,2019
France,Romeo - Bull Sequana X1125,Atos,2019
United States,Sequoia - BlueGene/Q,IBM,2019
United States,Mira - BlueGene/Q,IBM,2019
Australia,Gadi Phase 1 - ThinkSystem SD650,Fujitsu / Lenovo,2019
Japan,Fujitsu PRIMEHPC FX100,Fujitsu,2019
Japan,TSUBAME 2.5 - Cluster Platform SL390s G7,NEC/HPE,2019
Japan,Plasma Simulator - Fujitsu PRIMEHPC FX100,Fujitsu,2019
Brazil,Fênix - SYS-1029GQ-TRT,Atos,2019
Australia,Raijin - Hybrid Cluster PRIMERGY/x3550 M5/PowerEdge/Rackable/Rackable,Fujitsu / Lenovo / Xenon,2019
France,Diego - bullx DLC 720,Atos,2019
United States,SNL/NNSA CTS-1 Serrano - Tundra Extreme Scale,"Penguin Computing, Inc.",2019
United States,SNL/NNSA CTS-1 Cayenne - Tundra Extreme Scale,"Penguin Computing, Inc.",2019
Germany,Cray XC40,Cray/HPE,2019
China,B1 - Lenovo RD650,Lenovo,2019
Japan,RAIDEN GPU subsystem - NVIDIA DGX-1 Volta36,Fujitsu,2019
China,Lenovo HR630X,Lenovo,2019
Russia,Cray XC40,Cray Inc./T-Platforms,2019
China,CloudSystem - Sugon TC6000,Sugon,2019
United Kingdom,Wilkes-2 - Dell C4130,Dell EMC,2019
United States,Apollo 6000 XL230k,HPE,2019
United States,LLNL/NNSA CTS-1 Nel - Tundra Extreme Scale,"Penguin Computing, Inc.",2019
Japan,Sekirei - SGI ICE XA,HPE,2019
United States,Garnet - Cray XE6,Cray/HPE,2019
China,AWS HPC Clusters - Fastonetech C5,Fastonetech Inc.,2019
United States,Zenith - Dell C6420/C6320p,Dell EMC,2019
China,Internet Company T CC1 - Lenovo RD450,Lenovo,2019
China,INSPUR NF5280M4,Inspur,2019
China,Lenovo RD450,Lenovo,2019
China,JD C1 - Lenovo x3550,Lenovo,2019
Spain,MareNostrum P9 CTE - IBM Power System AC922,IBM,2019
United States,LANL/NNSA CTS-1 Fire - Tundra Extreme Scale,"Penguin Computing, Inc.",2019
United States,LANL/NNSA CTS-1 Ice - Tundra Extreme Scale,"Penguin Computing, Inc.",2019
China,Huawei RH2288H V3 Cluster,"Huawei Technologies Co., Ltd.",2019
United States,Selene - DGX A100 SuperPOD,Nvidia,2020
Italy,Marconi Intel Xeon Phi - CINECA Cluster,Lenovo,2020
Germany,Hazel Hen - Cray XC40,Cray/HPE,2020
United States,Vulcan - BlueGene/Q,IBM,2020
United States,Circe - NVIDIA DGX-2H POD,Nvidia,2020
Germany,SuperMUC - iDataPlex DX360M4,IBM/Lenovo,2020
Italy,Marconi Intel Xeon - Lenovo NeXtScale nx360M5,Lenovo,2020
United States,Edison - Cray XC30,Cray/HPE,2020
France,JOLIOT-CURIE KNL - Bull Sequana X1000,Atos,2020
China,AIGIS - Sugon Cluster W780I,Sugon,2020
Japan,NA-1 - ZettaScaler-2.2,PEZY Computing / Exascaler Inc.,2020
United States,Apollo 6500,HPE,2020
France,Cobalt - bullx DLC 720,Atos,2020
United States,Ansel - IBM Power System AC922,IBM / NVIDIA / Mellanox,2020
United States,Conrad - Cray XC40,Cray/HPE,2020
United States,Gordon - Cray XC40,Cray/HPE,2020
China,Lenovo x240 M5,Lenovo,2020
China,Nebulae - Dawning TC3600 Blade System,Sugon,2020
China,Inspur SA5212M4,Inspur,2020
France,Spartan - Bull Sequana XH2000,Atos,2020
China,MCSystem - Sugon TC6000,Sugon,2020
China,GSCloud - Sugon TC6000,Sugon,2020
China,DJSystem - Sugon TC6000,Sugon,2020
China,HSystem - Sugon TC6000,Sugon,2020
China,A1 - Lenovo RD650,Lenovo,2020
United States,Yellowstone - iDataPlex DX360M4,IBM,2020
China,HKVSystem - Sugon TC6000,Sugon,2020
China,BSystem - Sugon TC6000,Sugon,2020
China,Huawei X6000 V5,"Huawei Technologies Co., Ltd.",2020
China,CTRtraning - Sugon I620,Sugon,2020
China,Era-AI - Sugon Cluster W780I,Sugon,2020
China,DataLearning(C) - Sugon TC6000,Sugon,2020
China,TYACC-System - Sugon TC6000,Sugon,2020
China,Bsystem1 - Sugon TC6000,Sugon,2020
France,Apollo 6500,HPE,2020
Canada,Graham - Huawei X6800 V3,"Huawei Technologies Co., Ltd.",2020
Japan,Supercomputer Fugaku - Supercomputer Fugaku,Fujitsu,2020
United States,Summit - IBM Power System AC922,IBM,2020
United States,Sierra - IBM Power System AC922,IBM / NVIDIA / Mellanox,2020
China,Sunway TaihuLight - Sunway MPP,NRCPC,2020
United States,Selene - NVIDIA DGX A100,Nvidia,2020
China,Tianhe-2A - TH-IVB-FEP Cluster,NUDT,2020
Germany,JUWELS Booster Module - Bull Sequana XH2000,Atos,2020
Italy,HPC5 - PowerEdge C4140,Dell EMC,2020
United States,Frontera - Dell C6420,Dell EMC,2020
Saudi Arabia,Dammam-7 - Cray CS-Storm,HPE,2020
Italy,Marconi-100 - IBM Power System AC922,IBM,2020
Switzerland,Piz Daint - Cray XC50,Cray/HPE,2020
United States,Trinity - Cray XC40,Cray/HPE,2020
Japan,AI Bridging Cloud Infrastructure (ABCI) - PRIMERGY CX2570 M4,Fujitsu,2020
Germany,SuperMUC-NG - ThinkSystem SD650,Lenovo,2020
Germany,Hawk - Apollo 9000,HPE,2020
United States,Lassen - IBM Power System AC922,IBM / NVIDIA / Mellanox,2020
France,PANGEA III - IBM Power System AC922,IBM,2020
Japan,TOKI-SORA - PRIMEHPC FX1000,Fujitsu,2020
United States,Cori - Cray XC40,Cray/HPE,2020
South Korea,Nurion - Cray CS500,Cray/HPE,2020
Japan,Oakforest-PACS - PRIMERGY CX1640 M1,Fujitsu,2020
Italy,HPC4 - Proliant DL380 Gen10,HPE,2020
France,Tera-1000-2 - Bull Sequana X1000,Atos,2020
United States,Stampede2 - PowerEdge C6320P/C6420,Dell EMC,2020
United States,DGX SuperPOD - NVIDIA DGX-2H,Nvidia,2020
Australia,Gadi - PRIMERGY CX2570 M5,Fujitsu / Lenovo,2020
Taiwan,Taiwania 2 - QCT QuantaGrid D52G-4U/LC,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,2020
United States,AiMOS - IBM Power System AC922,IBM,2020
France,Taranis - Bull Sequana XH2000,Atos,2020
Japan,TSUBAME3.0 - SGI ICE XA,HPE,2020
United States,Roxy - Apollo 2000,HPE,2020
Japan,Plasma Simulator - SX-Aurora TSUBASA A412-8,NEC,2020
France,Belenos - Bull Sequana XH2000,Atos,2020
United States,PupMaya - Apollo 2000,HPE,2020
United Arab Emirates,Artemis - NVIDIA DGX-2,Nvidia,2020
France,JOLIOT-CURIE ROME - Bull Sequana XH2000,Atos,2020
United States,Theta - Cray XC40,Cray/HPE,2020
Russia,Christofari - NVIDIA DGX-2,Nvidia,2020
Japan,Flow - PRIMEHPC FX1000,Fujitsu,2020
Spain,MareNostrum - Lenovo SD530,Lenovo,2020
United States,ONYX - Cray XC40,Cray/HPE,2020
Germany,JUWELS Module 1 - Bull Sequana X1000,Atos,2020
United States,Pleiades - SGI ICE X,HPE,2020
Germany,Emmy+ - BullSequana X,Atos,2020
United States,Sawtooth - HPE SGI 8600,HPE,2020
Japan,Cray XC50,Cray Inc./Hitachi,2020
Germany,COBRA - Intel Compute Module HNS2600BP,Intel,2020
Saudi Arabia,Shaheen II - Cray XC40,Cray/HPE,2020
United States,Electra - HPE SGI 8600/SGI ICE-X,HPE,2020
Finland,MAHTI - Bull Sequana XH2000,Atos,2020
Germany,Lise - Bull intel Cluster,Atos,2020
France,Pangea - SGI ICE X,HPE,2020
United States,TX-GAIA (Green AI Accelerator) - Apollo 2000,HPE,2020
Japan,Flow Type II subsystem - PRIMERGY CX2570 M5,Fujitsu,2020
United States,Eagle - HPE SGI 8600,HPE,2020
United States,Cheyenne - SGI ICE XA,HPE,2020
Norway,Betzy - Bull Sequana XH2000,Atos,2020
India,PARAM Siddhi-AI - NVIDIA DGX A100,Atos,2020
Japan,ITO - Subsystem A - Fujitsu PRIMERGY CX2550/CX2560 M4,Fujitsu,2020
Brazil,Atlas - Bull 4029GP-TVRT,Atos,2020
China,Advanced Computing System(PreE) - Sugon TC8600,Sugon,2020
France,CRONOS - BullSequana X,Atos,2020
Japan,Oakbridge-CX - Fujitsu PRIMERGY CX2550/CX2560 M5,Fujitsu,2020
United States,SNL/NNSA CTS-1 Manzano - Tundra Extreme Scale,"Penguin Computing, Inc.",2020
United States,Aitken 2 - Apollo 9000,HPE,2020
France,JOLIOT-CURIE SKL - Bull Sequana X1000,Atos,2020
United States,Abel - Cray XC30,Cray/HPE,2020
Germany,JURECA - T-Platforms V-Class/Dell C6320P,"T-Platforms, Intel, Dell",2020
India,Pratyush - Cray XC40,Cray/HPE,2020
Japan,Apollo 6500 XL270d Gen10,HPE,2020
United States,LLNL Ruby - Supermicro SYS-2029TP-HTR,Supermicro,2020
United States,Orion - PowerEdge C6420,Dell EMC,2020
United States,Joule 2.0 - HP ProLiant XL170r/XL190r/DL360 Gen10,HPE,2020
Canada,Niagara - ThinkSystem SD530,Lenovo,2020
United States,Cray CS-Storm,Cray/HPE,2020
Poland,Eagle II - CH121L V5 Liquid-Cooled,"Huawei Technologies Co., Ltd.",2020
Saudi Arabia,Unizah-II - Cray CS500,HPE,2020
Japan,Ohtaka - PowerEdge C6525,Dell EMC,2020
Italy,davinci-1 - BullSequana X,Atos,2020
Canada,Cedar (GPU) - PowerEdge C6420,ACTION,2020
United States,Topaz - SGI ICE X,HPE,2020
United States,NVIDIA DGX-1/Relion 2904GT,Self-made,2020
United States,DGX Saturn V - NVIDIA DGX-1,Nvidia,2020
United Kingdom,Damson - Bull Sequana X1000,Atos,2020
United States,LLNL/NNSA CTS-1 MAGMA - Relion Cluster,"Penguin Computing, Inc.",2020
United States,Mustang - HPE SGI 8600,HPE,2020
Italy,HPC2 - iDataPlex DX360M4,IBM,2020
Brazil,Fênix - Bull 4029GP-TVRT,Atos,2020
Morocco,Toubkal - PowerEdge C6420,Dell EMC,2020
Japan,SORA-MA - Fujitsu PRIMEHPC FX100,Fujitsu,2020
Germany,Lichtenberg II (Phase 1) - MEGWARE MiriQuid,MEGWARE,2020
United States,Cray XC30,Cray/HPE,2020
United States,Thunder - SGI ICE X,HPE,2020
Switzerland,Alps - HPE Cray EX,HPE,2020
Japan,Numerical Materials Simulator - HPE SGI 8600,HPE,2020
United States,Hera - Cray CS500,Cray/HPE,2020
Japan,Camphor 2 - Cray XC40,Cray/HPE,2020
France,Jean Zay - HPE SGI 8600,HPE,2020
Germany,Mistral - bullx DLC 720,Atos,2020
Sweden,Tetralith - Intel H2204XXLRE,ClusterVision / Hammer,2020
United States,Freeman - Cray CS500,HPE,2020
Germany,SuperMUC Phase 2 - NeXtScale nx360M5,Lenovo/IBM,2020
United Kingdom,Cray XC40,Cray/HPE,2020
Japan,JFRS-1 - Cray XC50,Cray/HPE,2020
China,ZZ2 - ThinkSystem HR650X,Lenovo,2020
Austria,VSC-4 - ThinkSystem SD650,Lenovo,2020
United States,SNL/NNSA CTS-1 Attaway - Tundra Extreme Scale,"Penguin Computing, Inc.",2020
China,ZZ3 - ThinkSystem HR650X,Lenovo,2020
China,ZZ4 - ThinkSystem HR650X,Lenovo,2020
Canada,Banting - Cray XC50,Cray/HPE,2020
United States,Hypercluster - NVIDIA DGX-2,Nvidia,2020
China,ZZ5 - ThinkSystem HR650X,Lenovo,2020
China,ZZ6 - ThinkSystem HR650X,Lenovo,2020
United States,Grace - PowerEdge R640/R740/R840,Dell EMC,2020
United States,LLNL/NNSA CTS-1 Jade - Tundra Extreme Scale,"Penguin Computing, Inc.",2020
United States,LLNL CTS-1 Quartz - Tundra Extreme Scale,"Penguin Computing, Inc.",2020
Canada,Cedar (CPU) - PowerEdge C6420,ACTION,2020
Canada,Daley - Cray XC50,Cray/HPE,2020
Germany,SX-Aurora TSUBASA A412-8,NEC,2020
Italy,HPC3 - Lenovo NeXtScale nx360M5,Lenovo,2020
India,Mihir - Cray XC40,Cray/HPE,2020
China,Tianhe-1A - NUDT YH MPP,NUDT,2020
France,Spartan2 - Bull Sequana XH2000,Atos,2020
China,PAI-BSystem - Sugon TC4600LP/W740I,Sugon,2020
United States,cascade - Atipa Visione IF442 Blade Server,Atipa Technology,2020
France,occigen2 - bullx DLC 720,Atos,2020
United States,Excalibur - Cray XC40,Cray/HPE,2020
Germany,CLAIX (2018) - INTEL-HNS2600BPB,NEC,2020
United States,Expanse - PowerEdge R6525/C6525,Dell EMC,2020
Russia,Lomonosov 2 - T-Platform A-Class Cluster,T-Platforms,2020
China,B1 - Lenovo HR650x,Lenovo,2020
United States,Centennial - SGI ICE XA,HPE,2020
China,PAI-ASystem - Sugon TC4600,Sugon,2020
China,C1 - Lenovo HR650x,Lenovo,2020
China,D1 - Lenovo HR650x,Lenovo,2020
South Korea,Nuri - Cray XC40,Cray/HPE,2020
South Korea,Miri - Cray XC40,Cray/HPE,2020
China,E1 - Lenovo HR650x,Lenovo,2020
United States,Aitken - HPE SGI 8600,HPE,2020
United States,NVIDIA DGX SuperPOD - NVIDIA DGX A100,Nvidia,2020
China,ZZ1 - ThinkSystem HR630X,Lenovo,2020
Saudi Arabia,Makman-3 - PowerEdge R440/C6320p,Dell EMC,2020
China,F1 - Lenovo HR650x,Lenovo,2020
Taiwan,Taiwania 3 - QCT QuantaPlex T42D-2U/4N,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,2020
United States,Longhorn - IBM Power System AC922,IBM,2020
Canada,Béluga - Dell EMC PowerEdge R640,Dell EMC,2020
United Kingdom,Cumulus - PowerEdge C6420/C6320,Dell EMC,2020
Saudi Arabia,Makman-2 - Dell PowerEdge R630,Dell EMC,2020
China,G1 - Lenovo HR650x,Lenovo,2020
France,Prolix2 - bullx DLC 720,Atos,2020
China,H1 - Lenovo HR650x,Lenovo,2020
France,Beaufix2 - bullx DLC 720,Atos,2020
